2021-06-21 12:06:47 INFO  HomePage :90 - Year:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:74 INFO  HomePage :94 - Get Email id:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:205 INFO  HomePage :99 - Get company name:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:330 INFO  HomePage :104 - Get password:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:457 INFO  HomePage :109 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:677 INFO  HomePage :123 - First name empty message:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //span[text()='First name is required.']]
2021-06-21 12:06:715 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:750 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:777 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:917 INFO  HomePage :65 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:948 INFO  HomePage :69 - Get first name:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:84 INFO  HomePage :74 - Get last name:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:250 INFO  HomePage :80 - Date:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:328 INFO  HomePage :85 - Month:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:427 INFO  HomePage :90 - Year:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:453 INFO  HomePage :94 - Get Email id:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:584 INFO  HomePage :99 - Get company name:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:718 INFO  HomePage :104 - Get password:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:853 INFO  HomePage :109 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (a13c52d4a5badc1b903dcd2887430abb)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:03 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:730 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (eb810a999d35a45b3c575dd094932ba9)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:760 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (eb810a999d35a45b3c575dd094932ba9)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:73 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:812 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:842 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:989 INFO  HomePage :65 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //label[contains(text(),'Male')]]
